ID,scalar,alpha,number_of_orthogroups,mean_orthogroup_size,RF
134,6.632,1.015863296,30927,3.8,46
135,6.68,1.225774156,32604,3.9,48
136,6.728,0.73680774,27640,6.7,18
137,6.776,1.316792152,29168,3.1,68
138,6.824,0.557750583,14176,17.8,32
139,6.872,0.906701053,31144,4.8,34
140,6.92,0.693734078,24190,8.7,14
141,6.968,1.130170175,30772,3.4,60
142,7.016,0.880246721,29862,5.4,36
143,7.064,1.244692081,29627,3.1,60
144,7.112,0.761180126,29065,5.7,26
145,7.16,1.026858822,31440,3.8,46
146,7.208,0.64831026,24776,8.1,12
147,7.256,0.624906881,22940,9.2,16
148,7.304,1.548780621,28186,2.9,76
149,7.352,1.460498782,27179,2.8,74
150,7.4,0.557174107,18976,12.4,16
151,7.448,0.720477861,27835,6.2,10
152,7.496,1.332850087,27973,2.9,72
153,7.544,0.939016197,30490,3.5,48
154,7.592,0.923929562,30406,3.7,46
155,7.64,0.961079054,30791,3.8,44
156,7.688,1.360307487,28336,2.9,72
157,7.736,1.192320137,28792,3,62
158,7.784,1.059214878,29308,3.1,72
159,7.832,1.075673703,30071,3.2,58
160,7.88,0.693734078,27672,6.4,20
161,7.928,1.586059237,27451,2.8,80
162,7.976,1.310012581,27243,2.8,70
163,8.024,0.939016197,29910,3.3,64
164,8.072,1.336390693,29652,3,70
165,8.12,1.471621878,27418,2.8,70
166,8.168,1.022523525,29632,3.2,68
167,8.216,1.040757546,29823,3.2,62
168,8.264,0.444710652,11008,23.8,36
169,8.312,0.771073421,30600,4.2,36
170,8.36,1.130170175,29048,3.1,56
171,8.408,1.346709216,27476,2.8,78
172,8.456,1.022286138,29899,3.2,68
173,8.504,0.726468357,30192,4.8,34
174,8.552,1.052838937,29228,3.1,60
175,8.6,0.680633302,29762,5.1,24
176,8.648,0.761180126,30709,4,36
177,8.696,1.022523525,30175,3.2,58
178,8.744,0.887260202,29963,3.4,50
179,8.792,0.608521107,22667,9.4,22
180,8.84,0.421161505,11850,21.8,32
181,8.888,0.913138852,31289,3.9,42
182,8.936,0.985011078,28392,3,68
183,8.984,0.98441562,29338,3.2,64
184,9.032,0.961890189,30466,3.4,58
185,9.08,0.976669563,28495,3,62
186,9.128,0.52747913,22732,9.3,18
187,9.176,1.22570861,26287,2.7,80
188,9.224,1.240182986,27389,2.8,76
189,9.272,0.979142334,28089,3,60
190,9.32,1.586884707,25912,2.6,86
191,9.368,0.73068532,30344,4.1,28
192,9.416,1.656430106,26481,2.7,84
193,9.464,0.822712917,29627,3.3,54
194,9.512,0.769545411,30466,3.9,44
195,9.56,1.106123414,26739,2.7,74
196,9.608,1.000446958,27802,2.9,64
197,9.656,1.462154847,25381,2.5,88
198,9.704,0.948806252,29308,3.2,64
199,9.752,0.608269452,27755,6.1,12
200,9.8,0.58006553,26616,6.7,22
